,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
10,14.55978889,98.81765758,66.71914058,51.54935659,30.83490012,70.34091299,61.39100597,92.67472093,40.65235305,48.36238961,13.08134183,79.57958784,61.98378577,45.82007795,34.47427957,90.57720686,56.63253066,104.8678905,45.98228406,51.80429314,11.73237257,77.54123134,59.30593578,60.76027869,35.80484507,83.57647368,63.87407111,139.5167043,40.24435625,42.63018672
11,10.00009793,96.33795988,67.1481198,50.26490058,29.91493815,71.04570528,62.40399639,88.67207916,40.34027431,46.78211188,8.407441203,80.32381401,63.45935912,48.41521044,35.19291643,85.9613204,59.87856527,108.213349,42.05816189,45.2421302,8.041126389,71.02154941,63.35780179,61.58333008,40.20536544,73.1352443,62.95548858,134.341919,33.75661004,34.54884487
12,14.63427082,97.29421382,64.53415292,52.1709247,28.58956305,69.61234845,63.12331229,85.59417134,39.90097804,49.00102714,12.90771457,74.30754502,56.07409534,51.43541771,34.02023819,83.75776434,61.42565225,112.0425824,42.67822452,47.24281238,11.2634992,67.8231642,59.26068321,59.68637705,41.56249829,64.64118696,59.72486325,130.2616068,31.88464098,39.19268281
13,24.20167037,96.32663006,62.47680725,54.42726541,28.9834541,67.20078834,60.81594005,87.70816947,38.75554125,51.39601,22.03822189,67.78660209,58.96662592,48.60804123,36.46998735,84.75030934,60.50682693,118.1512577,38.33392424,49.90883716,18.29117442,67.2372653,67.94400268,51.6404163,40.72706315,70.67950237,55.37679964,136.3647379,27.11407797,45.45805898
14,29.90607356,100.1715963,65.04362853,53.60631052,28.01667088,65.98956402,59.36969402,89.34008258,39.64586991,52.21400353,27.52693503,69.45222174,56.52073877,50.00209281,31.98081416,80.78332063,60.9174689,127.6754906,42.43823926,55.35012121,24.90672067,63.25802008,64.40268638,50.82064726,38.45440849,68.04856305,52.4645555,134.389543,28.69599459,52.26526484
15,26.5028784,99.97470642,61.83340279,51.97867197,27.27839712,67.20556069,57.70459903,92.06531718,40.12874203,51.08589958,25.88120266,70.39534264,58.27745648,53.21530354,28.9146651,83.57000906,60.38746326,137.4481239,38.90498247,53.0349431,21.87667785,64.23534252,69.41309514,50.15002169,31.48416532,71.14060819,52.14832131,130.9221412,27.64690433,48.93361457
16,17.12096683,100.7599247,64.40555147,54.24947677,27.24059288,68.88919735,58.93602067,92.89989492,38.64080238,49.46556634,15.54227465,74.84820078,61.04364503,59.56078745,26.23110534,81.60055658,64.40507542,142.3265075,40.68281775,48.27981461,12.89265582,72.78727702,76.92421045,58.08829854,28.95579847,66.99868452,52.73601745,133.1643656,30.99558243,42.15857064
17,10.38602508,96.34373471,64.85551623,55.43667541,28.28837427,65.87159506,56.15576746,90.3939631,37.25180148,47.68850672,9.957094765,75.11975613,58.7692514,57.09589594,26.3498357,76.28343454,62.66064905,134.893643,36.7522011,43.22543208,7.589664197,69.56710832,78.02052344,60.65897006,31.08032774,66.49312878,46.21014421,114.2045323,25.55867601,37.03996234
18,12.49012753,96.8025644,67.75264359,55.78972213,27.61767251,67.69327383,55.58791043,94.37257929,38.33713438,47.66087088,12.76367301,75.5680789,56.54167878,54.32600818,26.11671353,74.41686869,59.41190594,152.110727,38.69280642,44.72814463,9.230162951,75.33281306,68.85146724,52.30342083,32.65804188,65.57795734,40.43252158,117.0005528,26.00020058,42.15305011
19,21.4987721,98.27753197,65.9172113,56.03598873,26.81421258,65.1800239,55.77644302,92.35128347,37.87513747,49.32623407,22.06716536,70.2559551,51.75816186,49.82638625,23.40082687,69.25308379,53.67143281,159.5735622,39.09451654,50.5368687,17.47590625,74.80433346,59.38488347,51.59403962,30.30433639,63.44867509,34.12496698,111.2567835,25.98611502,50.22583121
20,29.12945251,101.0773201,68.54493204,55.12993698,26.52134837,63.27025994,55.64574226,88.82569081,36.56124585,49.31369383,27.27997904,68.70827366,55.32689154,50.74440663,21.32584735,72.68256304,51.19522254,159.8733257,38.19612347,52.99381836,22.30518963,66.86882261,68.83969259,56.24601783,29.33603991,69.32188839,31.9015745,113.7937524,23.24411138,52.88731239
21,28.36655639,99.11832962,70.22479946,52.37692661,27.29041313,66.41726579,57.03809305,85.71064115,37.28770745,49.96286028,25.23431572,69.60717904,54.5431876,51.16170057,23.71815396,76.80685707,51.2969686,139.3567239,41.62862497,51.09100676,19.77809269,65.041447,70.75050087,57.72583057,31.43211183,70.33975802,28.85378797,99.57503508,25.64237909,55.76102737
22,19.91148691,103.1409035,72.21748136,53.41244384,26.40960323,69.63482648,54.88447385,82.5077656,35.88580871,47.57078159,17.20578394,72.48507587,52.39493622,50.83473844,24.8732957,75.77513009,53.84834334,134.4991983,41.94198431,46.25837642,14.30573184,66.49089909,63.03600585,56.56782422,32.4479291,68.48818632,28.78767979,89.59150419,23.49740974,55.03862843
23,11.53779596,102.3405007,70.1472114,53.33574897,25.58035441,69.31277491,54.54534296,82.00886875,36.72270613,46.67731516,9.652598994,70.32994122,48.27258354,48.61841649,24.05317368,72.17934748,48.74807518,137.6270508,43.21053504,44.04660927,8.686342063,59.35981003,53.68335958,51.25558202,34.13503358,64.89764492,25.06944552,94.26141128,25.09008376,57.30925181
24,10.94421638,102.5838922,73.44981273,55.98474778,24.32465729,70.25988057,55.77896868,83.21507435,38.42901222,46.97357539,9.307170388,74.37722131,53.88584761,49.39192601,22.04891407,76.968139,46.2844394,152.1469479,45.20008521,42.59924009,7.544133054,67.93127717,64.95042877,51.0468601,28.88763416,64.87252418,25.61398161,113.6605671,26.45282798,49.96838149
25,18.6764825,101.4218357,71.00795933,56.33763146,25.17503973,71.79949589,53.27981163,80.71385003,40.34944983,49.11039883,14.69395962,68.30881003,52.02255267,54.23190698,22.97506578,74.36727006,41.75824964,158.0046012,50.36874111,45.27220758,13.08359484,66.45934309,58.73555904,51.99044693,31.30050413,68.04893012,24.37852267,111.5472191,32.05115998,57.58788432
26,27.6255845,103.1777166,68.32158621,55.68392155,25.7579367,69.58366957,51.79364468,77.41194639,40.6542557,51.50770161,22.97613123,69.87873942,46.35838838,58.30564765,21.46515982,68.86063002,44.31661276,149.6316267,55.09795179,43.56771213,21.02570362,61.6068337,55.81296832,51.80200848,26.68706479,66.22717471,26.90342694,104.2778792,37.17518955,53.64493581
27,29.56375928,107.3303155,65.38802628,56.60333118,26.20133501,70.05763879,51.12669501,77.86700598,39.2784199,52.31653478,25.54941125,68.91196162,46.5158031,54.32081743,21.66893648,66.99598771,40.71057464,150.3457946,55.36562706,46.55259263,22.65063104,55.61139284,52.50960397,43.5067848,27.61645807,66.92583153,22.45875729,108.8235397,37.44577701,55.20997389
28,22.70905788,102.212982,66.4621322,55.23971916,25.46577717,71.78715733,51.11136679,80.16695462,39.85703936,49.72841855,21.01789781,71.4565727,51.84797865,54.00998941,22.30353061,75.38591149,42.04123869,150.6678136,54.21113338,47.23465877,18.62238448,62.06141733,57.03017848,39.06664241,28.45534573,79.93294922,22.34763208,102.508362,36.09698268,56.11500233
29,13.36366116,104.1619347,67.48430793,56.89997017,26.13095263,73.33703819,49.02852013,83.89730607,39.08674269,49.72534304,11.55710008,78.58384499,56.36541319,50.58920864,24.96025798,72.91609171,42.49372033,160.2369381,50.49728626,46.20295958,10.92672933,70.80060746,61.51019636,34.48556357,32.41238791,77.76843444,21.30287697,113.6611741,32.79371176,56.83896789
30,10.11968376,103.2968303,66.12221848,59.18586844,26.11731215,75.67807689,48.70482362,85.12991493,37.4219205,48.55024435,8.014223348,70.35582465,58.4649803,49.04233073,25.26544054,80.68213673,43.60510758,159.0210745,43.92353569,48.5382481,7.882657323,63.62186834,66.72952472,33.84318562,30.9803347,80.29015561,22.08492206,115.1573908,25.72897662,55.83276232
31,15.95962355,103.1571385,63.35115552,60.53613998,27.09357043,78.41155722,46.77236826,82.46133303,38.36281188,49.72689317,13.12696875,63.83742192,55.89101507,52.68347148,28.76209541,85.88957669,41.03140255,154.2901845,43.11708868,52.5919134,14.14484164,53.83446945,66.08422486,32.88710272,38.09420757,86.30329269,20.7201366,111.4820492,25.15106678,66.34480289
